"Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Well","Plate","Complexity"
1,0,0,1,0,1,0,0,"B10",1,3
1,0,0,0,0,1,1,0,"B11",1,3
1,0,0,0,0,0,0,0,"B2",1,1
0,0,0,0,0,0,1,0,"B3",1,1
1,0,0,0,0,1,0,0,"B4",1,2
0,1,0,0,0,1,0,0,"B5",1,2
0,0,1,0,0,0,1,0,"B6",1,2
0,0,0,0,1,1,0,0,"B7",1,2
1,1,1,0,0,0,0,0,"B8",1,3
1,0,1,1,0,0,0,0,"B9",1,3
1,0,0,1,0,0,1,0,"C10",1,3
1,0,0,0,0,1,0,1,"C11",1,3
0,1,0,0,0,0,0,0,"C2",1,1
0,0,0,0,0,0,0,1,"C3",1,1
1,0,0,0,0,0,1,0,"C4",1,2
0,1,0,0,0,0,1,0,"C5",1,2
0,0,1,0,0,0,0,1,"C6",1,2
0,0,0,0,1,0,1,0,"C7",1,2
1,1,0,1,0,0,0,0,"C8",1,3
1,0,1,0,1,0,0,0,"C9",1,3
1,0,0,1,0,0,0,1,"D10",1,3
1,0,0,0,0,0,1,1,"D11",1,3
0,0,1,0,0,0,0,0,"D2",1,1
1,1,0,0,0,0,0,0,"D3",1,2
1,0,0,0,0,0,0,1,"D4",1,2
0,1,0,0,0,0,0,1,"D5",1,2
0,0,0,1,1,0,0,0,"D6",1,2
0,0,0,0,1,0,0,1,"D7",1,2
1,1,0,0,1,0,0,0,"D8",1,3
1,0,1,0,0,1,0,0,"D9",1,3
1,0,0,0,1,1,0,0,"E10",1,3
0,1,1,1,0,0,0,0,"E11",1,3
0,0,0,1,0,0,0,0,"E2",1,1
1,0,1,0,0,0,0,0,"E3",1,2
0,1,1,0,0,0,0,0,"E4",1,2
0,0,1,1,0,0,0,0,"E5",1,2
0,0,0,1,0,1,0,0,"E6",1,2
0,0,0,0,0,1,1,0,"E7",1,2
1,1,0,0,0,1,0,0,"E8",1,3
1,0,1,0,0,0,1,0,"E9",1,3
1,0,0,0,1,0,1,0,"F10",1,3
0,1,1,0,1,0,0,0,"F11",1,3
0,0,0,0,1,0,0,0,"F2",1,1
1,0,0,1,0,0,0,0,"F3",1,2
0,1,0,1,0,0,0,0,"F4",1,2
0,0,1,0,1,0,0,0,"F5",1,2
0,0,0,1,0,0,1,0,"F6",1,2
0,0,0,0,0,1,0,1,"F7",1,2
1,1,0,0,0,0,1,0,"F8",1,3
1,0,1,0,0,0,0,1,"F9",1,3
1,0,0,0,1,0,0,1,"G10",1,3
0,1,1,0,0,1,0,0,"G11",1,3
0,0,0,0,0,1,0,0,"G2",1,1
1,0,0,0,1,0,0,0,"G3",1,2
0,1,0,0,1,0,0,0,"G4",1,2
0,0,1,0,0,1,0,0,"G5",1,2
0,0,0,1,0,0,0,1,"G6",1,2
0,0,0,0,0,0,1,1,"G7",1,2
1,1,0,0,0,0,0,1,"G8",1,3
1,0,0,1,1,0,0,0,"G9",1,3
1,0,1,1,0,1,0,0,"B10",2,4
1,0,1,0,0,1,1,0,"B11",2,4
0,1,1,0,0,0,1,0,"B2",2,3
0,1,0,0,1,1,0,0,"B3",2,3
0,0,1,1,1,0,0,0,"B4",2,3
