Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:06	18.7	0.093	0.092	0.092	0.091	0.091	0.092	0.091	0.091	0.091	0.091	0.091	0.093	0.091	0.095	0.098	0.098	0.096	0.097	0.097	0.098	0.096	0.096	0.098	0.094	0.091	0.095	0.098	0.097	0.098	0.103	0.098	0.098	0.099	0.099	0.100	0.094	0.090	0.095	0.096	0.097	0.099	0.097	0.098	0.097	0.097	0.101	0.097	0.093	0.092	0.097	0.098	0.097	0.097	0.096	0.094	0.096	0.095	0.098	0.095	0.092	0.095	0.097	0.099	0.096	0.095	0.095	0.097	0.097	0.099	0.096	0.095	0.091	0.093	0.096	0.095	0.095	0.097	0.098	0.102	0.099	0.098	0.100	0.096	0.091	0.093	0.091	0.092	0.092	0.091	0.091	0.093	0.092	0.093	0.094	0.091	0.092
1:00:04	19.2	0.094	0.092	0.092	0.092	0.092	0.093	0.092	0.091	0.092	0.092	0.092	0.094	0.092	0.097	0.100	0.100	0.098	0.099	0.098	0.098	0.097	0.098	0.100	0.094	0.092	0.097	0.100	0.097	0.098	0.104	0.097	0.098	0.098	0.098	0.101	0.094	0.092	0.098	0.097	0.098	0.099	0.097	0.099	0.098	0.098	0.101	0.099	0.094	0.092	0.099	0.098	0.098	0.098	0.098	0.096	0.096	0.096	0.097	0.097	0.092	0.095	0.100	0.099	0.098	0.098	0.097	0.099	0.098	0.101	0.097	0.097	0.092	0.094	0.098	0.098	0.098	0.100	0.100	0.103	0.100	0.100	0.103	0.099	0.092	0.094	0.092	0.093	0.093	0.093	0.092	0.094	0.094	0.094	0.094	0.093	0.093
2:00:05	19.3	0.094	0.092	0.092	0.092	0.092	0.093	0.092	0.092	0.092	0.092	0.093	0.094	0.092	0.098	0.099	0.100	0.099	0.100	0.099	0.099	0.099	0.099	0.100	0.095	0.092	0.098	0.100	0.098	0.098	0.105	0.098	0.099	0.099	0.099	0.103	0.095	0.092	0.099	0.097	0.099	0.101	0.099	0.100	0.099	0.099	0.103	0.100	0.094	0.093	0.100	0.099	0.099	0.099	0.099	0.096	0.097	0.097	0.098	0.098	0.092	0.095	0.101	0.100	0.099	0.099	0.097	0.099	0.098	0.102	0.098	0.098	0.091	0.094	0.099	0.099	0.099	0.101	0.102	0.104	0.101	0.101	0.104	0.099	0.092	0.094	0.093	0.093	0.093	0.093	0.092	0.094	0.094	0.094	0.095	0.093	0.093
3:00:06	19.3	0.094	0.093	0.092	0.092	0.092	0.093	0.092	0.092	0.092	0.092	0.093	0.094	0.092	0.100	0.099	0.102	0.101	0.100	0.101	0.101	0.100	0.101	0.101	0.095	0.092	0.100	0.102	0.099	0.099	0.108	0.098	0.100	0.101	0.099	0.106	0.094	0.092	0.100	0.099	0.101	0.104	0.100	0.102	0.100	0.101	0.105	0.101	0.094	0.093	0.101	0.101	0.101	0.101	0.101	0.097	0.099	0.097	0.100	0.100	0.092	0.096	0.102	0.101	0.100	0.101	0.098	0.101	0.098	0.104	0.098	0.100	0.092	0.095	0.101	0.100	0.100	0.102	0.104	0.105	0.102	0.103	0.107	0.101	0.092	0.095	0.093	0.093	0.093	0.093	0.093	0.094	0.094	0.095	0.095	0.093	0.093
4:00:07	19.3	0.094	0.093	0.093	0.092	0.092	0.093	0.092	0.092	0.092	0.093	0.093	0.094	0.092	0.102	0.099	0.105	0.103	0.101	0.104	0.104	0.103	0.104	0.102	0.095	0.092	0.102	0.105	0.099	0.099	0.111	0.098	0.103	0.103	0.099	0.109	0.095	0.092	0.103	0.101	0.104	0.108	0.103	0.105	0.103	0.103	0.108	0.101	0.094	0.093	0.104	0.104	0.103	0.104	0.103	0.097	0.101	0.097	0.103	0.103	0.092	0.095	0.105	0.103	0.103	0.103	0.098	0.103	0.098	0.108	0.099	0.103	0.092	0.094	0.103	0.103	0.102	0.105	0.107	0.105	0.105	0.105	0.110	0.104	0.092	0.095	0.093	0.093	0.094	0.093	0.092	0.094	0.094	0.095	0.095	0.093	0.093
5:00:08	19.2	0.094	0.093	0.093	0.092	0.092	0.093	0.093	0.092	0.093	0.093	0.093	0.095	0.092	0.107	0.099	0.109	0.108	0.102	0.110	0.109	0.109	0.110	0.102	0.096	0.093	0.107	0.109	0.100	0.100	0.117	0.098	0.107	0.108	0.100	0.114	0.095	0.092	0.108	0.105	0.109	0.113	0.107	0.110	0.107	0.108	0.113	0.102	0.094	0.093	0.108	0.108	0.108	0.109	0.108	0.097	0.105	0.097	0.108	0.109	0.093	0.096	0.109	0.107	0.108	0.108	0.098	0.109	0.099	0.115	0.099	0.107	0.092	0.095	0.107	0.108	0.107	0.110	0.112	0.106	0.110	0.111	0.115	0.109	0.092	0.095	0.093	0.094	0.094	0.093	0.093	0.095	0.094	0.095	0.095	0.094	0.094
6:00:08	19.2	0.094	0.093	0.093	0.092	0.092	0.093	0.093	0.092	0.093	0.093	0.093	0.095	0.092	0.116	0.099	0.116	0.116	0.102	0.120	0.118	0.118	0.119	0.103	0.095	0.093	0.115	0.116	0.101	0.100	0.126	0.098	0.114	0.115	0.100	0.125	0.095	0.092	0.117	0.112	0.116	0.123	0.116	0.119	0.114	0.116	0.121	0.102	0.094	0.093	0.116	0.116	0.115	0.117	0.115	0.097	0.113	0.097	0.116	0.119	0.092	0.095	0.117	0.113	0.115	0.116	0.098	0.116	0.099	0.126	0.101	0.116	0.092	0.095	0.115	0.117	0.114	0.118	0.122	0.107	0.120	0.120	0.124	0.117	0.093	0.095	0.094	0.094	0.094	0.093	0.093	0.095	0.094	0.095	0.095	0.094	0.093
7:00:10	19.2	0.094	0.093	0.093	0.092	0.093	0.094	0.093	0.092	0.093	0.093	0.093	0.095	0.092	0.131	0.099	0.128	0.132	0.102	0.139	0.134	0.133	0.135	0.104	0.095	0.093	0.130	0.128	0.102	0.100	0.143	0.099	0.127	0.129	0.100	0.143	0.095	0.093	0.132	0.123	0.130	0.138	0.130	0.134	0.127	0.132	0.136	0.103	0.094	0.093	0.129	0.130	0.128	0.131	0.130	0.097	0.128	0.098	0.133	0.136	0.093	0.096	0.129	0.125	0.128	0.130	0.098	0.131	0.099	0.143	0.102	0.130	0.092	0.095	0.127	0.131	0.127	0.131	0.137	0.108	0.136	0.136	0.140	0.133	0.092	0.095	0.094	0.094	0.094	0.093	0.093	0.095	0.094	0.096	0.095	0.094	0.094
8:00:10	19.1	0.094	0.093	0.093	0.092	0.093	0.094	0.093	0.093	0.093	0.093	0.094	0.095	0.092	0.157	0.100	0.151	0.158	0.103	0.171	0.161	0.160	0.165	0.105	0.096	0.093	0.154	0.152	0.103	0.101	0.173	0.099	0.149	0.154	0.101	0.172	0.095	0.093	0.156	0.145	0.154	0.164	0.157	0.160	0.150	0.159	0.163	0.104	0.095	0.093	0.153	0.151	0.149	0.158	0.153	0.098	0.153	0.098	0.160	0.164	0.093	0.096	0.151	0.145	0.154	0.157	0.099	0.156	0.100	0.170	0.102	0.153	0.092	0.095	0.148	0.157	0.150	0.155	0.163	0.109	0.162	0.165	0.167	0.159	0.093	0.095	0.094	0.094	0.094	0.094	0.095	0.095	0.094	0.097	0.096	0.094	0.094
9:00:12	19.1	0.094	0.093	0.093	0.093	0.093	0.094	0.093	0.093	0.093	0.093	0.093	0.095	0.093	0.199	0.100	0.186	0.203	0.103	0.215	0.200	0.201	0.206	0.106	0.096	0.093	0.191	0.187	0.104	0.101	0.215	0.099	0.188	0.193	0.101	0.213	0.095	0.092	0.190	0.185	0.199	0.199	0.198	0.196	0.192	0.206	0.198	0.104	0.095	0.093	0.188	0.192	0.194	0.208	0.187	0.098	0.192	0.098	0.200	0.208	0.093	0.095	0.184	0.175	0.201	0.201	0.099	0.201	0.100	0.205	0.103	0.195	0.092	0.095	0.179	0.195	0.183	0.192	0.204	0.109	0.196	0.206	0.206	0.198	0.093	0.095	0.094	0.094	0.094	0.094	0.102	0.095	0.094	0.095	0.095	0.094	0.094
