Time	T° 600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:06	21.5	0.095	0.093	0.100	0.097	0.098	0.096	0.093	0.094	0.094	0.096	0.094	0.094	0.095	0.097	0.097	0.099	0.098	0.097	0.098	0.101	0.097	0.099	0.099	0.096	0.094	0.100	0.098	0.099	0.103	0.100	0.098	0.098	0.098	0.100	0.099	0.096	0.095	0.098	0.100	0.098	0.097	0.098	0.098	0.098	0.098	0.103	0.098	0.095	0.097	0.097	0.101	0.101	0.099	0.098	0.096	0.097	0.097	0.098	0.098	0.093	0.097	0.099	0.101	0.099	0.098	0.097	0.098	0.099	0.099	0.098	0.098	0.093	0.096	0.109	0.098	0.098	0.101	0.098	0.099	0.100	0.101	0.099	0.098	0.094	0.096	0.093	0.095	0.094	0.095	0.094	0.096	0.097	0.096	0.094	0.094	0.094
1:00:05	22.0	0.095	0.093	0.099	0.096	0.098	0.096	0.093	0.094	0.094	0.096	0.094	0.095	0.095	0.098	0.098	0.100	0.099	0.102	0.098	0.101	0.098	0.100	0.099	0.095	0.093	0.100	0.098	0.100	0.104	0.101	0.098	0.099	0.099	0.101	0.100	0.095	0.095	0.098	0.101	0.099	0.098	0.098	0.099	0.099	0.098	0.103	0.098	0.095	0.097	0.098	0.102	0.101	0.100	0.099	0.095	0.098	0.097	0.098	0.099	0.093	0.097	0.099	0.101	0.100	0.099	0.097	0.098	0.100	0.099	0.098	0.099	0.093	0.096	0.110	0.098	0.099	0.101	0.098	0.099	0.101	0.101	0.099	0.098	0.093	0.096	0.093	0.095	0.094	0.095	0.094	0.096	0.097	0.096	0.093	0.093	0.094
2:00:07	22.2	0.095	0.093	0.100	0.096	0.098	0.096	0.093	0.094	0.094	0.096	0.094	0.094	0.095	0.099	0.098	0.101	0.100	0.100	0.100	0.103	0.099	0.101	0.101	0.096	0.094	0.102	0.100	0.101	0.105	0.102	0.099	0.100	0.100	0.102	0.101	0.096	0.096	0.100	0.102	0.101	0.099	0.100	0.100	0.100	0.100	0.105	0.099	0.095	0.097	0.099	0.103	0.103	0.102	0.100	0.096	0.099	0.098	0.100	0.100	0.093	0.097	0.100	0.103	0.101	0.101	0.097	0.099	0.100	0.100	0.100	0.100	0.093	0.096	0.111	0.100	0.100	0.102	0.100	0.100	0.102	0.102	0.100	0.100	0.093	0.096	0.093	0.095	0.094	0.095	0.094	0.096	0.097	0.096	0.094	0.094	0.094
3:00:08	22.3	0.095	0.093	0.099	0.096	0.098	0.096	0.093	0.093	0.094	0.096	0.094	0.094	0.094	0.100	0.099	0.102	0.102	0.102	0.101	0.103	0.101	0.102	0.102	0.095	0.093	0.103	0.101	0.102	0.107	0.104	0.100	0.102	0.102	0.103	0.102	0.096	0.095	0.101	0.104	0.102	0.101	0.101	0.102	0.102	0.101	0.107	0.100	0.095	0.096	0.100	0.105	0.105	0.103	0.102	0.096	0.101	0.099	0.101	0.102	0.093	0.097	0.102	0.104	0.102	0.103	0.098	0.101	0.102	0.102	0.101	0.101	0.092	0.095	0.112	0.101	0.101	0.104	0.100	0.101	0.103	0.104	0.102	0.101	0.093	0.096	0.093	0.095	0.094	0.095	0.093	0.096	0.097	0.096	0.094	0.093	0.093
4:00:08	22.1	0.095	0.093	0.100	0.096	0.098	0.096	0.093	0.094	0.094	0.096	0.094	0.095	0.095	0.103	0.101	0.105	0.105	0.103	0.104	0.106	0.103	0.105	0.105	0.096	0.094	0.105	0.103	0.104	0.109	0.106	0.102	0.104	0.104	0.105	0.105	0.096	0.096	0.103	0.107	0.105	0.103	0.104	0.104	0.104	0.104	0.109	0.102	0.095	0.097	0.102	0.107	0.107	0.106	0.104	0.097	0.103	0.100	0.103	0.105	0.093	0.097	0.104	0.107	0.105	0.106	0.099	0.103	0.104	0.105	0.103	0.104	0.093	0.096	0.115	0.104	0.103	0.106	0.103	0.103	0.105	0.106	0.104	0.104	0.094	0.096	0.093	0.095	0.094	0.095	0.094	0.096	0.097	0.096	0.094	0.094	0.093
5:00:08	21.8	0.095	0.093	0.099	0.096	0.099	0.096	0.093	0.093	0.094	0.096	0.094	0.095	0.094	0.105	0.102	0.107	0.107	0.105	0.106	0.108	0.106	0.108	0.106	0.095	0.093	0.107	0.106	0.107	0.111	0.108	0.103	0.107	0.106	0.107	0.107	0.095	0.095	0.105	0.110	0.107	0.105	0.106	0.106	0.107	0.106	0.110	0.103	0.095	0.097	0.105	0.109	0.109	0.109	0.107	0.097	0.106	0.100	0.105	0.107	0.093	0.096	0.106	0.109	0.107	0.109	0.100	0.105	0.106	0.107	0.105	0.106	0.093	0.096	0.118	0.106	0.105	0.109	0.105	0.104	0.107	0.108	0.106	0.107	0.094	0.096	0.093	0.095	0.094	0.095	0.094	0.096	0.097	0.096	0.094	0.093	0.093
6:00:10	21.6	0.095	0.093	0.099	0.096	0.098	0.097	0.093	0.093	0.094	0.096	0.094	0.095	0.095	0.109	0.104	0.111	0.111	0.108	0.110	0.112	0.109	0.111	0.109	0.095	0.093	0.110	0.109	0.110	0.114	0.112	0.105	0.111	0.110	0.110	0.110	0.096	0.095	0.108	0.113	0.111	0.108	0.110	0.109	0.110	0.110	0.114	0.106	0.095	0.097	0.108	0.112	0.113	0.113	0.111	0.097	0.109	0.102	0.109	0.111	0.093	0.097	0.109	0.112	0.111	0.114	0.102	0.108	0.108	0.111	0.109	0.109	0.093	0.096	0.121	0.109	0.109	0.112	0.107	0.106	0.111	0.111	0.110	0.110	0.093	0.096	0.094	0.096	0.094	0.095	0.094	0.096	0.097	0.096	0.094	0.093	0.094
7:00:11	21.3	0.095	0.093	0.099	0.096	0.099	0.097	0.093	0.094	0.094	0.096	0.094	0.095	0.095	0.114	0.107	0.115	0.116	0.112	0.114	0.117	0.114	0.115	0.114	0.096	0.094	0.114	0.113	0.115	0.119	0.116	0.107	0.115	0.114	0.114	0.115	0.096	0.096	0.112	0.117	0.116	0.113	0.115	0.114	0.114	0.115	0.118	0.110	0.095	0.097	0.113	0.117	0.117	0.118	0.116	0.098	0.114	0.104	0.113	0.115	0.093	0.097	0.114	0.116	0.115	0.117	0.104	0.112	0.112	0.115	0.114	0.113	0.093	0.096	0.125	0.114	0.113	0.116	0.112	0.109	0.115	0.116	0.114	0.116	0.094	0.096	0.094	0.096	0.094	0.095	0.094	0.096	0.097	0.096	0.094	0.094	0.094
8:00:12	21.0	0.095	0.093	0.099	0.096	0.099	0.096	0.093	0.093	0.094	0.096	0.094	0.095	0.095	0.118	0.109	0.120	0.121	0.117	0.121	0.124	0.118	0.120	0.120	0.095	0.095	0.118	0.117	0.120	0.124	0.120	0.110	0.121	0.119	0.118	0.120	0.095	0.096	0.117	0.122	0.121	0.118	0.120	0.118	0.118	0.124	0.123	0.115	0.095	0.097	0.117	0.121	0.121	0.124	0.120	0.099	0.118	0.106	0.117	0.119	0.093	0.096	0.117	0.121	0.120	0.125	0.106	0.116	0.117	0.121	0.118	0.117	0.093	0.096	0.129	0.118	0.117	0.121	0.115	0.113	0.121	0.121	0.119	0.121	0.093	0.096	0.093	0.096	0.094	0.095	0.094	0.096	0.097	0.096	0.094	0.094	0.093
9:00:13	20.7	0.095	0.093	0.099	0.096	0.099	0.097	0.093	0.094	0.094	0.096	0.094	0.095	0.095	0.123	0.114	0.127	0.139	0.123	0.131	0.138	0.126	0.127	0.128	0.096	0.096	0.125	0.134	0.126	0.134	0.129	0.114	0.141	0.142	0.124	0.136	0.096	0.095	0.123	0.129	0.128	0.124	0.127	0.130	0.124	0.144	0.136	0.121	0.095	0.097	0.125	0.128	0.126	0.141	0.131	0.099	0.125	0.109	0.123	0.124	0.093	0.097	0.129	0.133	0.132	0.150	0.109	0.123	0.122	0.129	0.124	0.122	0.093	0.096	0.138	0.122	0.122	0.132	0.122	0.120	0.129	0.131	0.125	0.139	0.094	0.096	0.094	0.096	0.094	0.095	0.094	0.096	0.097	0.096	0.094	0.094	0.094
