"Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","r_min","r_max","r_mean","c_min","c_max","c_mean","i_min","mean_int","i_max","mean_response","Complexity","id","significant","null","response"
"100",0,0,0,0,0,0,0,0,43.7782294095084,49.6210236351498,46.7768492049913,43.7782294095084,49.6210236351498,46.7768492049913,1,1,1,1,0,"control",FALSE,1,"None"
"100",1,0,0,0,0,0,0,0,47.0698603731767,49.3730981606707,48.3573027401181,43.7782294095084,49.6210236351498,46.7768492049913,0.968050327838878,1.03490885585832,1.11134320735899,1.03378708831372,1,"1",FALSE,1,"None"
"100",0,1,0,0,0,0,0,0,46.9603839786357,49.3589946389494,47.8622548749979,43.7782294095084,49.6210236351498,46.7768492049913,0.961588410599746,1.02444843542377,1.10936657843555,1.02320390724159,1,"2",FALSE,1,"None"
"100",0,0,1,0,0,0,0,0,46.5785960919499,48.6892567320833,47.5033159941337,43.7782294095084,49.6210236351498,46.7768492049913,0.952589892509705,1.01611486075076,1.09471109684707,1.01553047718026,1,"3",FALSE,1,"None"
"100",0,0,0,1,0,0,0,0,46.6217111251904,48.7347902762484,47.8188152491668,43.7782294095084,49.6210236351498,46.7768492049913,0.957886612307552,1.02347988585218,1.10000214284145,1.02227525072519,1,"4",FALSE,1,"None"
"100",0,0,0,0,1,0,0,0,44.1488032420595,48.105079039569,46.2787879408023,43.7782294095084,49.6210236351498,46.7768492049913,0.907975148286709,0.990917592167618,1.08220024654267,0.989352398191543,1,"5",FALSE,1,"None"
"100",0,0,0,0,0,1,0,0,46.8463901974217,48.4964205245265,47.9300821181095,43.7782294095084,49.6210236351498,46.7768492049913,0.9634543852296,1.02568455256566,1.09460429381925,1.02465392459557,1,"6",FALSE,1,"None"
"100",0,0,0,0,0,0,1,0,42.7451086375432,46.6200249809263,44.6842800717962,43.7782294095084,49.6210236351498,46.7768492049913,0.87878685104631,0.95710255556998,1.04780694943204,0.955264854970783,1,"7",FALSE,1,"None"
"100",0,0,0,0,0,0,0,1,41.8979998372833,47.5235808950704,45.4675764972302,43.7782294095084,49.6210236351498,46.7768492049913,0.859830768648783,0.972979889206702,1.0691185211219,0.972010241604273,1,"8",FALSE,1,"None"
"100",1,1,0,0,0,0,0,0,46.3919155378958,48.6057538503035,47.0641133656618,43.7782294095084,49.6210236351498,46.7768492049913,0.835387166168062,0.952696404298836,1.0786795943783,1.00614116097071,2,"12",FALSE,1.06021075819026,"Additive"
"100",1,0,1,0,0,0,0,0,46.997897375234,48.868679821783,47.8136281441487,43.7782294095084,49.6210236351498,46.7768492049913,0.857421060942055,0.976595777763742,1.10365347301134,1.02216436029314,2,"13",FALSE,1.05158626796021,"Additive"
"100",1,0,0,1,0,0,0,0,47.486702480248,49.2443125941126,48.3026010661921,43.7782294095084,49.6210236351498,46.7768492049913,0.860387939631205,0.978131952077864,1.10325103627763,1.03261767064546,2,"14",FALSE,1.05920839766129,"Additive"
"100",1,0,0,0,1,0,0,0,44.3543860148559,48.5508872889105,47.0005694251739,43.7782294095084,49.6210236351498,46.7768492049913,0.840715618147793,0.983649887345805,1.14330772681146,1.0047827124739,2,"15",FALSE,1.02550939156007,"Additive"
"100",1,0,0,0,0,1,0,0,47.2266107616077,50.1674217797847,48.3176049096195,43.7782294095084,49.6210236351498,46.7768492049913,0.856646260541418,0.975439179331324,1.10578108659843,1.03293842425932,2,"16",FALSE,1.06149002676728,"Additive"
"100",1,0,0,0,0,0,1,0,42.5170589877586,46.4146149346933,44.3135272442084,43.7782294095084,49.6210236351498,46.7768492049913,0.829735966908979,0.960424194571141,1.10809746634236,0.947338865215401,2,"17",FALSE,0.990513910724004,"Additive"
"100",1,0,0,0,0,0,0,1,43.5623340422467,47.2959404071903,45.4032201306024,43.7782294095084,49.6210236351498,46.7768492049913,0.818573329095151,0.969519052391232,1.15797882481851,0.970634424982982,2,"18",FALSE,1.00694550391206,"Additive"
